# data from ifeffit
#------------------------
#   r         chir_mag    chir_mag    chir_mag
  3.2827189       0.23240070       0.50382325       0.27271131
  3.3133985       0.29665323       0.71554013       0.42031227
  3.3440781       0.31077457       0.78631024       0.47691035
  3.3747577       0.27671208       0.73171653       0.45612839
  3.4054373       0.20335407       0.57926838       0.37663524
  3.4361170       0.10471395       0.36427646       0.25981910
  3.4667966       0.31684586E-02   0.12505900       0.12744874
  3.4974762       0.10161929       0.10191173       0.81711626E-02
  3.5281558       0.17817909       0.28621333       0.10944962
  3.5588354       0.22228567       0.40675100       0.18584016
  3.5895150       0.22951961       0.45346919       0.22517585
  3.6201947       0.20129222       0.42759551       0.22723539
  3.6508743       0.14424649       0.34037999       0.19667365
  3.6815539       0.68928246E-01   0.21062000       0.14183395
  3.7122335       0.12223961E-01   0.61382279E-01   0.73333191E-01
  3.7429131       0.86130766E-01   0.83614548E-01   0.73360903E-02
  3.7735927       0.14235034       0.20332440       0.62391865E-01
  3.8042724       0.17334514       0.28221864       0.11012001
  3.8349520       0.17594923       0.31199479       0.13708709
  3.8656316       0.15149484       0.29221168       0.14145859
  3.8963112       0.10533971       0.22974135       0.12479052
  3.9269908       0.45824207E-01   0.13721695       0.91461424E-01
  3.9576704       0.17303219E-01   0.30767816E-01   0.47884538E-01
  3.9883500       0.73961098E-01   0.72624982E-01   0.61476090E-02
  4.0190297       0.11605640       0.15761167       0.42855313E-01
  4.0497093       0.13796153       0.21270766       0.75815568E-01
  4.0803889       0.13748721       0.23167365       0.95035333E-01
  4.1110685       0.11598369       0.21410148       0.98689316E-01
  4.1417481       0.77934201E-01   0.16508751       0.87425232E-01
  4.1724277       0.30104317E-01   0.94114228E-01   0.64037105E-01
  4.2031074       0.19734956E-01   0.13358564E-01   0.32976245E-01
  4.2337870       0.63676042E-01   0.64335752E-01   0.52878178E-02
  4.2644666       0.95435410E-01   0.12734702       0.33016693E-01
  4.2951462       0.11080806       0.16702997       0.57097700E-01
  4.3258258       0.10834762       0.17878565       0.71107491E-01
  4.3565054       0.89418287E-01   0.16252139       0.73533462E-01
  4.3871851       0.57831239E-01   0.12239504       0.64750927E-01
  4.4178647       0.19137286E-01   0.65935755E-01   0.46806102E-01
  4.4485443       0.20421263E-01   0.27211801E-02   0.23083559E-01
  4.4792239       0.54612351E-01   0.57257410E-01   0.52653140E-02
  4.5099035       0.78563019E-01   0.10499966       0.27321059E-01
  4.5405831       0.89155432E-01   0.13393947       0.45474749E-01
  4.5712627       0.85500291E-01   0.14073331       0.55748088E-01
  4.6019424       0.68943198E-01   0.12560116       0.56977855E-01
  4.6326220       0.42735699E-01   0.92092794E-01   0.49486110E-01
  4.6633016       0.11442307E-01   0.46361509E-01   0.34920129E-01
  4.6939812       0.19917620E-01   0.39194133E-02   0.16012974E-01
  4.7246608       0.46447147E-01   0.50803088E-01   0.58452484E-02
  4.7553404       0.64389751E-01   0.87309374E-01   0.23595452E-01
  4.7860201       0.71467407E-01   0.10842450       0.37486128E-01
  4.8166997       0.67200966E-01   0.11176488       0.44953752E-01
  4.8473793       0.52880520E-01   0.97796479E-01   0.45153340E-01
  4.8780589       0.31268467E-01   0.69608224E-01   0.38431108E-01
  4.9087385       0.61015483E-02   0.32296835E-01   0.26195306E-01
  4.9394181       0.18599548E-01   0.79224630E-02   0.10741801E-01
  4.9700978       0.39022743E-01   0.44727386E-01   0.65805885E-02
  5.0007774       0.52303262E-01   0.72664221E-01   0.20859453E-01
  5.0314570       0.56813090E-01   0.87935244E-01   0.31518685E-01
  5.0621366       0.52366757E-01   0.88891676E-01   0.36817688E-01
  5.0928162       0.40165988E-01   0.76169908E-01   0.36182099E-01
  5.1234958       0.22534568E-01   0.52469845E-01   0.30003873E-01
  5.1541754       0.25001844E-02   0.22028568E-01   0.19528527E-01
