# TR: NSLS/X11 EDC-5.02 15-Sep-92 04:05:24 E- ENERGY=2.584GEV
# Cu foil, 150K   x11 standard foil
# 2-SI111 HC/2D= 1977.260 STPDEG=6400. STPMMZ= 40. FOCUS=F TRANSLT=F
# E0= 8980.0 NREG= 3 NPTS= 636 NSCLRS= 3 EF=     .0
# SRB=   -205.8    -55.6     30.0   2381.3
# DEL=           10.020     .483     .050K
# SEC=             1.000    1.000    1.000
# DETECTORSI0      I       If
# GAINS           8       7      10
# OFFSETS     51284   50016   48319
# nsls 0.2p, Bruce Ravel   TR mode
# ----------------------------------------------------------------
#     energy              xmu
     9181.474            2.09345
     9184.244            2.08253
     9187.018            2.07722
     9189.837            2.07101
     9192.705            2.05608
     9195.528            2.04388
     9198.490            2.05235
     9201.318            2.08447
     9204.284            2.12767
     9207.161            2.15462
     9210.131            2.15967
     9213.103            2.15484
     9216.077            2.14097
     9219.099            2.11572
     9222.122            2.07673
     9225.193            2.03351
     9228.268            1.99236
     9231.297            1.96289
     9234.467            1.94354
     9237.547            1.93666
     9240.721            1.94322
     9243.897            1.95502
     9247.075            1.95966
     9250.257            1.96046
     9253.439            1.96342
     9256.672            1.96560
     9259.951            1.97009
     9263.233            1.97988
     9266.519            1.99264
     9269.806            2.00194
     9273.142            2.00777
     9276.526            2.01071
     9279.867            2.01150
     9283.257            2.01382
     9286.696            2.01794
     9290.091            2.02227
     9293.535            2.02694
     9297.028            2.02490
     9300.478            2.01065
     9304.022            1.99136
     9307.524            1.97180
     9311.074            1.95057
     9314.628            1.93364
     9318.230            1.92451
     9321.790            1.92534
     9325.446            1.92914
     9329.058            1.92746
     9332.719            1.91663
     9336.384            1.89907
     9340.098            1.88120
     9343.862            1.87904
     9347.536            1.88700
     9351.307            1.89084
     9355.080            1.89168
     9358.857            1.89638
     9362.637            1.90033
     9366.515            1.90329
     9370.396            1.90626
     9374.186            1.90913
     9378.073            1.91140
     9382.012            1.91302
     9385.906            1.91370
     9389.851            1.91342
     9393.800            1.91293
     9397.799            1.91049
     9401.802            1.90387
     9405.809            1.89296
     9409.865            1.87786
     9413.927            1.86174
     9417.992            1.85040
     9422.061            1.84507
     9426.181            1.84393
     9430.304            1.84534
     9434.479            1.84648
     9438.658            1.84432
     9442.842            1.84004
     9447.028            1.83109
     9451.268            1.82022
     9455.510            1.81249
     9459.805            1.81063
     9464.056            1.80913
     9468.358            1.80488
     9472.714            1.80052
     9477.024            1.79927
     9481.388            1.79936
     9485.804            1.80236
     9490.175            1.80531
     9494.600            1.80893
     9499.028            1.81233
     9503.559            1.81599
     9507.995            1.81698
     9512.485            1.81444
     9517.029            1.80724
     9521.528            1.79613
     9526.080            1.78080
     9530.637            1.76934
     9535.248            1.76262
     9539.862            1.75805
     9544.481            1.75477
     9549.155            1.75173
     9553.833            1.74984
     9558.466            1.74792
     9563.153            1.74469
     9567.943            1.74072
     9572.641            1.73723
     9577.441            1.73373
     9582.246            1.72808
     9586.958            1.72222
     9591.823            1.71944
     9596.643            1.71710
     9601.468            1.71575
     9606.348            1.71539
     9611.282            1.71374
     9616.173            1.71212
     9621.118            1.71101
     9626.068            1.71087
     9631.023            1.70968
     9636.035            1.70638
     9641.051            1.70235
     9646.072            1.69797
     9651.100            1.69378
     9656.232            1.69974
     9661.271            1.71579
     9666.364            1.71701
     9671.463            1.71109
     9676.618            1.70013
     9681.778            1.69815
     9686.945            1.69491
     9692.168            1.69076
     9697.396            1.68468
     9702.682            1.68195
     9707.871            1.68024
     9713.168            1.67584
     9718.471            1.66967
     9723.779            1.66686
     9729.094            1.66373
     9734.466            1.66056
     9739.844            1.65723
     9745.278            1.65561
     9750.617            1.65688
     9756.065            1.65435
     9761.519            1.64852
     9766.979            1.64322
     9772.444            1.63969
     9778.021            1.63743
     9783.499            1.63400
     9789.036            1.62982
     9794.631            1.62728
     9800.181            1.62447
     9805.788            1.62169
     9811.403            1.61799
     9817.024            1.61260
     9822.652            1.60645
     9828.339            1.60077
     9834.084            1.59586
     9839.837            1.59168
     9845.491            1.58863
     9851.258            1.58488
     9857.030            1.58146
     9862.811            1.57826
     9868.598            1.57480
     9874.444            1.57219
     9880.297            1.56911
     9886.158            1.56555
     9892.025            1.56215
     9897.953            1.55824
     9903.889            1.55453
     9909.831            1.55109
     9915.780            1.54786
     9921.737            1.54500
     9927.755            1.54178
     9933.779            1.53803
     9939.813            1.53399
     9945.853            1.53012
     9951.953            1.52576
     9958.063            1.52249
     9964.179            1.51938
     9970.302            1.51572
     9976.434            1.51160
     9982.627            1.50755
     9988.827            1.50263
     9995.037            1.49848
    10001.250            1.49458
    10007.480            1.49044
    10013.760            1.48615
    10020.110            1.48248
    10026.360            1.47892
    10032.670            1.47523
    10038.990            1.47148
    10045.380            1.46799
    10051.770            1.46472
    10058.160            1.46121
    10064.570            1.45841
    10070.990            1.45527
    10077.460            1.45162
    10083.950            1.44804
    10090.450            1.44381
    10097.010            1.44004
    10103.460            1.43648
    10110.040            1.43249
    10116.630            1.42896
    10123.220            1.42472
    10129.820            1.42074
    10136.430            1.41742
    10143.050            1.41353
    10149.740            1.40988
    10156.430            1.40647
    10163.190            1.40276
    10169.850            1.39923
    10176.620            1.39551
    10183.350            1.39166
    10190.150            1.38806
    10196.950            1.38418
    10203.770            1.38059
    10210.590            1.37700
    10217.480            1.37322
    10224.320            1.37002
    10231.230            1.36646
    10238.200            1.36303
    10245.070            1.35985
    10252.010            1.35590
    10259.010            1.35215
    10266.030            1.34905
    10273.050            1.34514
    10280.080            1.34174
    10287.070            1.33777
    10294.120            1.33404
    10301.290            1.33072
    10308.370            1.32682
    10315.450            1.32305
    10322.660            1.31932
    10329.760            1.31558
    10336.980            1.31204
    10344.220            1.30774
    10351.350            1.30399
    10358.610            1.30041
    10365.880            1.29660
    10373.160            1.29304
    10380.450            1.28929
    10387.750            1.28563
    10395.060            1.28207
    10402.440            1.27821
    10409.770            1.27475
    10417.170            1.27106
    10424.580            1.26736
    10432.010            1.26395
    10439.500            1.26024
    10446.940            1.25656
    10454.400            1.25297
    10461.920            1.24931
    10469.520            1.24574
    10477.010            1.24215
    10484.560            1.23863
    10492.130            1.23449
    10499.710            1.23064
    10507.360            1.22719
    10514.970            1.22323
    10522.640            1.21950
    10530.330            1.21555
    10538.020            1.21213
    10545.730            1.20843
    10553.450            1.20443
    10561.240            1.20079
    10568.990            1.19711
    10576.800            1.19340
    10584.570            1.18957
    10592.410            1.18574
    10600.260            1.18224
    10608.120            1.17852
    10616.060            1.17475
    10623.940            1.17095
    10631.840            1.16698
    10639.810            1.16332
    10647.730            1.15959
    10655.730            1.15612
    10663.740            1.15233
    10671.760            1.14822
    10679.790            1.14489
    10687.840            1.14103
    10695.890            1.13710
    10704.090            1.13381
    10712.110            1.12982
    10720.260            1.12590
    10728.500            1.12199
    10736.620            1.11837
    10744.750            1.11495
    10752.960            1.11110
    10761.240            1.10721
    10769.470            1.10344
    10777.720            1.09959
    10786.040            1.09586
    10794.310            1.09214
    10802.660            1.08862
    10810.960            1.08491
    10819.330            1.08107
    10827.720            1.07721
    10836.120            1.07373
    10844.530            1.07013
    10852.960            1.06620
    10861.470            1.06271
    10869.920            1.05885
    10878.390            1.05511
    10887.000            1.05154
    10895.490            1.04800
    10904.000            1.04420
    10912.590            1.04036
    10921.190            1.03689
    10929.870            1.03316
    10938.430            1.02948
    10947.070            1.02593
    10955.790            1.02200
    10964.390            1.01856
    10973.140            1.01490
    10981.840            1.01161
    10990.550            1.00781
    10999.340            1.00427
    11008.150            1.00047
    11016.900            0.99706
    11025.740            0.99355
    11034.580            0.98978
    11043.450            0.98632
    11052.330            0.98292
    11061.220            0.97918
    11070.120            0.97560
    11079.040            0.97180
    11087.980            0.96854
    11097.000            0.96481
    11105.960            0.96116
    11115.010            0.95753
    11124.000            0.95372
    11133.080            0.94999
    11142.110            0.94630
    11151.280            0.94253
    11160.340            0.93917
    11169.410            0.93544
    11178.560            0.93202
    11187.790            0.92826
    11196.910            0.92498
    11206.110            0.92104
    11215.390            0.91733
    11224.550            0.91391
    11233.860            0.90996
    11243.120            0.90648
    11252.470            0.90293
    11261.690            0.89946
    11271.060            0.89589
    11280.390            0.89222
    11289.790            0.88874
    11299.150            0.88515
    11308.590            0.88176
    11318.040            0.87797
    11327.510            0.87456
    11337.000            0.87115
    11346.440            0.86781
    11355.960            0.86400
    11365.490            0.86064
